zip_code,city,state,metro,county_name,date,rental_price
10023,New York,NY,New York-Newark-Jersey City,New York County,2014-12-01,3698.5
10023,New York,NY,New York-Newark-Jersey City,New York County,2015-01-01,3775
10023,New York,NY,New York-Newark-Jersey City,New York County,2015-02-01,3695
10023,New York,NY,New York-Newark-Jersey City,New York County,2015-03-01,3700
10023,New York,NY,New York-Newark-Jersey City,New York County,2015-04-01,3750
10023,New York,NY,New York-Newark-Jersey City,New York County,2015-05-01,3725
10023,New York,NY,New York-Newark-Jersey City,New York County,2015-06-01,3750
10023,New York,NY,New York-Newark-Jersey City,New York County,2015-07-01,3800
10023,New York,NY,New York-Newark-Jersey City,New York County,2015-08-01,3792.5
10023,New York,NY,New York-Newark-Jersey City,New York County,2015-09-01,3800
10023,New York,NY,New York-Newark-Jersey City,New York County,2015-10-01,3799.5
10023,New York,NY,New York-Newark-Jersey City,New York County,2015-11-01,3795
10023,New York,NY,New York-Newark-Jersey City,New York County,2015-12-01,3800
10023,New York,NY,New York-Newark-Jersey City,New York County,2016-01-01,3800
10023,New York,NY,New York-Newark-Jersey City,New York County,2016-02-01,3800
10023,New York,NY,New York-Newark-Jersey City,New York County,2016-03-01,3795
10023,New York,NY,New York-Newark-Jersey City,New York County,2016-04-01,3697
10023,New York,NY,New York-Newark-Jersey City,New York County,2016-05-01,3700
10023,New York,NY,New York-Newark-Jersey City,New York County,2016-06-01,3696
10023,New York,NY,New York-Newark-Jersey City,New York County,2016-07-01,3600
10023,New York,NY,New York-Newark-Jersey City,New York County,2016-08-01,3550
10023,New York,NY,New York-Newark-Jersey City,New York County,2016-09-01,3450
10023,New York,NY,New York-Newark-Jersey City,New York County,2016-10-01,3500
10023,New York,NY,New York-Newark-Jersey City,New York County,2016-11-01,3500
10023,New York,NY,New York-Newark-Jersey City,New York County,2016-12-01,3537.5
10023,New York,NY,New York-Newark-Jersey City,New York County,2017-01-01,3672.5
10023,New York,NY,New York-Newark-Jersey City,New York County,2017-02-01,3650
10023,New York,NY,New York-Newark-Jersey City,New York County,2017-03-01,3600
10023,New York,NY,New York-Newark-Jersey City,New York County,2017-04-01,3700
10023,New York,NY,New York-Newark-Jersey City,New York County,2017-05-01,3750
10023,New York,NY,New York-Newark-Jersey City,New York County,2017-06-01,3695
10023,New York,NY,New York-Newark-Jersey City,New York County,2017-07-01,3775
10023,New York,NY,New York-Newark-Jersey City,New York County,2017-08-01,3600
10023,New York,NY,New York-Newark-Jersey City,New York County,2017-09-01,3500
10023,New York,NY,New York-Newark-Jersey City,New York County,2017-10-01,3500
10023,New York,NY,New York-Newark-Jersey City,New York County,2017-11-01,3696
10023,New York,NY,New York-Newark-Jersey City,New York County,2017-12-01,3696
10023,New York,NY,New York-Newark-Jersey City,New York County,2018-01-01,3695
10023,New York,NY,New York-Newark-Jersey City,New York County,2018-02-01,3500
10023,New York,NY,New York-Newark-Jersey City,New York County,2018-03-01,3500
10023,New York,NY,New York-Newark-Jersey City,New York County,2018-04-01,3500
10023,New York,NY,New York-Newark-Jersey City,New York County,2018-05-01,3500
10023,New York,NY,New York-Newark-Jersey City,New York County,2018-06-01,3500
10023,New York,NY,New York-Newark-Jersey City,New York County,2018-07-01,3600
10023,New York,NY,New York-Newark-Jersey City,New York County,2018-08-01,3600
10023,New York,NY,New York-Newark-Jersey City,New York County,2018-09-01,3650
10023,New York,NY,New York-Newark-Jersey City,New York County,2018-10-01,3775
10023,New York,NY,New York-Newark-Jersey City,New York County,2018-11-01,3750
10023,New York,NY,New York-Newark-Jersey City,New York County,2018-12-01,3700
10023,New York,NY,New York-Newark-Jersey City,New York County,2019-01-01,3700
10023,New York,NY,New York-Newark-Jersey City,New York County,2019-02-01,3600
10023,New York,NY,New York-Newark-Jersey City,New York County,2019-03-01,3500
10023,New York,NY,New York-Newark-Jersey City,New York County,2019-04-01,3575
10023,New York,NY,New York-Newark-Jersey City,New York County,2019-05-01,3695
10023,New York,NY,New York-Newark-Jersey City,New York County,2019-06-01,3587.5
10023,New York,NY,New York-Newark-Jersey City,New York County,2019-07-01,3550
10023,New York,NY,New York-Newark-Jersey City,New York County,2019-08-01,3600
10023,New York,NY,New York-Newark-Jersey City,New York County,2019-09-01,3600
10023,New York,NY,New York-Newark-Jersey City,New York County,2019-10-01,3696
10002,New York,NY,New York-Newark-Jersey City,New York County,2010-02-01,NA
10002,New York,NY,New York-Newark-Jersey City,New York County,2010-03-01,NA
10002,New York,NY,New York-Newark-Jersey City,New York County,2010-04-01,NA
10002,New York,NY,New York-Newark-Jersey City,New York County,2010-05-01,NA
10002,New York,NY,New York-Newark-Jersey City,New York County,2010-06-01,NA
10002,New York,NY,New York-Newark-Jersey City,New York County,2010-07-01,NA
10002,New York,NY,New York-Newark-Jersey City,New York County,2010-08-01,NA
10002,New York,NY,New York-Newark-Jersey City,New York County,2010-09-01,NA
10002,New York,NY,New York-Newark-Jersey City,New York County,2010-10-01,NA
