metro,date,value_type,mean_value
New York-Newark-Jersey City,2003-11-01,mean_sale_price,NaN
New York-Newark-Jersey City,2003-11-01,mean_zri,NaN
New York-Newark-Jersey City,2003-11-01,mean_rental_price,NaN
New York-Newark-Jersey City,2003-12-01,mean_zhvi,399581.5189873418
New York-Newark-Jersey City,2003-12-01,mean_sale_price,NaN
New York-Newark-Jersey City,2003-12-01,mean_zri,NaN
New York-Newark-Jersey City,2003-12-01,mean_rental_price,NaN
New York-Newark-Jersey City,2004-01-01,mean_zhvi,405829.0566037736
New York-Newark-Jersey City,2004-01-01,mean_sale_price,NaN
New York-Newark-Jersey City,2004-01-01,mean_zri,NaN
New York-Newark-Jersey City,2004-01-01,mean_rental_price,NaN
New York-Newark-Jersey City,2004-02-01,mean_zhvi,409128.679245283
New York-Newark-Jersey City,2004-02-01,mean_sale_price,NaN
New York-Newark-Jersey City,2004-02-01,mean_zri,NaN
New York-Newark-Jersey City,2004-02-01,mean_rental_price,NaN
New York-Newark-Jersey City,2004-03-01,mean_zhvi,412639.4968553459
New York-Newark-Jersey City,2004-03-01,mean_sale_price,NaN
New York-Newark-Jersey City,2004-03-01,mean_zri,NaN
New York-Newark-Jersey City,2004-03-01,mean_rental_price,NaN
New York-Newark-Jersey City,2004-04-01,mean_zhvi,416445.6603773585
New York-Newark-Jersey City,2004-04-01,mean_sale_price,NaN
New York-Newark-Jersey City,2004-04-01,mean_zri,NaN
New York-Newark-Jersey City,2004-04-01,mean_rental_price,NaN
New York-Newark-Jersey City,2004-05-01,mean_zhvi,420675.8490566038
New York-Newark-Jersey City,2004-05-01,mean_sale_price,NaN
New York-Newark-Jersey City,2004-05-01,mean_zri,NaN
New York-Newark-Jersey City,2004-05-01,mean_rental_price,NaN
New York-Newark-Jersey City,2004-06-01,mean_zhvi,425530.56603773584
New York-Newark-Jersey City,2004-06-01,mean_sale_price,NaN
New York-Newark-Jersey City,2004-06-01,mean_zri,NaN
New York-Newark-Jersey City,2004-06-01,mean_rental_price,NaN
New York-Newark-Jersey City,2004-07-01,mean_zhvi,431046.7924528302
New York-Newark-Jersey City,2004-07-01,mean_sale_price,NaN
New York-Newark-Jersey City,2004-07-01,mean_zri,NaN
New York-Newark-Jersey City,2004-07-01,mean_rental_price,NaN
New York-Newark-Jersey City,2004-08-01,mean_zhvi,437004.6540880503
New York-Newark-Jersey City,2004-08-01,mean_sale_price,NaN
New York-Newark-Jersey City,2004-08-01,mean_zri,NaN
New York-Newark-Jersey City,2004-08-01,mean_rental_price,NaN
New York-Newark-Jersey City,2004-09-01,mean_zhvi,443237.7358490566
New York-Newark-Jersey City,2004-09-01,mean_sale_price,NaN
New York-Newark-Jersey City,2004-09-01,mean_zri,NaN
New York-Newark-Jersey City,2004-09-01,mean_rental_price,NaN
New York-Newark-Jersey City,2004-10-01,mean_zhvi,449515.9748427673
New York-Newark-Jersey City,2004-10-01,mean_sale_price,NaN
New York-Newark-Jersey City,2004-10-01,mean_zri,NaN
New York-Newark-Jersey City,2004-10-01,mean_rental_price,NaN
New York-Newark-Jersey City,2004-11-01,mean_zhvi,455571.4465408805
New York-Newark-Jersey City,2004-11-01,mean_sale_price,NaN
New York-Newark-Jersey City,2004-11-01,mean_zri,NaN
New York-Newark-Jersey City,2004-11-01,mean_rental_price,NaN
New York-Newark-Jersey City,2004-12-01,mean_zhvi,461463.3962264151
New York-Newark-Jersey City,2004-12-01,mean_sale_price,NaN
New York-Newark-Jersey City,2004-12-01,mean_zri,NaN
New York-Newark-Jersey City,2004-12-01,mean_rental_price,NaN
New York-Newark-Jersey City,2005-01-01,mean_zhvi,467115.59748427675
New York-Newark-Jersey City,2005-01-01,mean_sale_price,NaN
New York-Newark-Jersey City,2005-01-01,mean_zri,NaN
New York-Newark-Jersey City,2005-01-01,mean_rental_price,NaN
New York-Newark-Jersey City,2005-02-01,mean_zhvi,472440.88050314464
New York-Newark-Jersey City,2005-02-01,mean_sale_price,NaN
New York-Newark-Jersey City,2005-02-01,mean_zri,NaN
New York-Newark-Jersey City,2005-02-01,mean_rental_price,NaN
