region_id,city,state,size_rank,date,median_income
395078,Seattle,WA,15,1992-09,37638.93
395078,Seattle,WA,15,1992-12,37884.98
395078,Seattle,WA,15,1993-03,37975.3
395078,Seattle,WA,15,1993-06,38134.46
395078,Seattle,WA,15,1993-09,37967.52
395078,Seattle,WA,15,1993-12,37995.53
395078,Seattle,WA,15,1994-03,37941.94
395078,Seattle,WA,15,1994-06,38092.91
395078,Seattle,WA,15,1994-09,38233.98
395078,Seattle,WA,15,1994-12,38574.78
395078,Seattle,WA,15,1995-03,38829.96
395078,Seattle,WA,15,1995-06,39153.19
395078,Seattle,WA,15,1995-09,39449.58
395078,Seattle,WA,15,1995-12,39812.04
395078,Seattle,WA,15,1996-03,40424.06
395078,Seattle,WA,15,1996-06,41122.12
395078,Seattle,WA,15,1996-09,41970.84
395078,Seattle,WA,15,1996-12,42699.41
395078,Seattle,WA,15,1997-03,43590.26
395078,Seattle,WA,15,1997-06,44464.59
395078,Seattle,WA,15,1997-09,45257.76
395078,Seattle,WA,15,1997-12,45882.73
395078,Seattle,WA,15,1998-03,46876.01
395078,Seattle,WA,15,1998-06,47952.05
395078,Seattle,WA,15,1998-09,49070.7
395078,Seattle,WA,15,1998-12,49832.77
395078,Seattle,WA,15,1999-03,50739.79
395078,Seattle,WA,15,1999-06,51378.29
395078,Seattle,WA,15,1999-09,51782.23
395078,Seattle,WA,15,1999-12,51755.91
395078,Seattle,WA,15,2000-03,52293.28
395078,Seattle,WA,15,2000-06,52333.27
395078,Seattle,WA,15,2000-09,52237.37
395078,Seattle,WA,15,2000-12,52177.49
395078,Seattle,WA,15,2001-03,52354.05
395078,Seattle,WA,15,2001-06,52735.8
395078,Seattle,WA,15,2001-09,52557.18
395078,Seattle,WA,15,2001-12,52318.21
395078,Seattle,WA,15,2002-03,52054.6
395078,Seattle,WA,15,2002-06,52159.03
395078,Seattle,WA,15,2002-09,52192.51
395078,Seattle,WA,15,2002-12,52221.19
395078,Seattle,WA,15,2003-03,52373.17
395078,Seattle,WA,15,2003-06,52821.66
395078,Seattle,WA,15,2003-09,53154.19
395078,Seattle,WA,15,2003-12,53310.86
395078,Seattle,WA,15,2004-03,53272.93
395078,Seattle,WA,15,2004-06,53411.26
395078,Seattle,WA,15,2004-09,53624.35
395078,Seattle,WA,15,2004-12,56025.01
395078,Seattle,WA,15,2005-03,56567.27
395078,Seattle,WA,15,2005-06,57325.08
395078,Seattle,WA,15,2005-09,56095.54
395078,Seattle,WA,15,2005-12,56964.61
395078,Seattle,WA,15,2006-03,58193.43
395078,Seattle,WA,15,2006-06,59526.82
395078,Seattle,WA,15,2006-09,60455.28
395078,Seattle,WA,15,2006-12,61185.18
395078,Seattle,WA,15,2007-03,62184.21
